 No.     Event UTC PERI       Event SCLK PERI      OP-Event UTC APO       SolLon   SolLat   SC Lon   SC Lat      Alt       Sol Dist
=====  ====================  ====================  ====================  =======  =======  =======  =======  ==========  ============
13669  2021 APR 01 01:49:22    2/0670513587.44456  2021 APR 01 03:37:31   345.59    10.36   335.30   -34.81      182.12   241667820.9
13670  2021 APR 01 05:25:48    2/0670526573.53852  2021 APR 01 07:13:56   292.91    10.39   282.36   -34.70      181.50   241688887.0
13671  2021 APR 01 09:02:11    2/0670539556.53307  2021 APR 01 10:50:21   240.25    10.41   229.46   -34.52      181.84   241709923.0
13672  2021 APR 01 12:38:38    2/0670552543.63698  2021 APR 01 14:26:48   187.57    10.44   176.50   -34.34      182.36   241730940.8
13673  2021 APR 01 16:15:05    2/0670565530.59802  2021 APR 01 18:03:13   134.90    10.47   123.56   -34.18      181.46   241751933.3
13674  2021 APR 01 19:51:29    2/0670578515.14163  2021 APR 01 21:39:38    82.23    10.49    70.64   -34.04      181.12   241772896.5
13675  2021 APR 01 23:27:55    2/0670591500.62212  2021 APR 02 01:16:05    29.56    10.52    17.72   -33.88      182.04   241793837.0
13676  2021 APR 02 03:04:23    2/0670604488.32849  2021 APR 02 04:52:32   336.87    10.55   324.76   -33.70      182.32   241814755.4
13677  2021 APR 02 06:40:49    2/0670617474.36465  2021 APR 02 08:28:57   284.20    10.57   271.83   -33.61      181.52   241835646.3
13678  2021 APR 02 10:17:12    2/0670630457.42342  2021 APR 02 12:05:22   231.54    10.60   218.92   -33.40      182.25   241856507.4
13679  2021 APR 02 13:53:39    2/0670643444.51168  2021 APR 02 15:41:48   178.86    10.63   165.96   -33.23      182.46   241877349.8
13680  2021 APR 02 17:30:05    2/0670656430.47732  2021 APR 02 19:18:13   126.19    10.65   113.03   -33.08      181.49   241898165.1
13681  2021 APR 02 21:06:29    2/0670669414.22430  2021 APR 02 22:54:38    73.52    10.68    60.12   -32.94      181.51   241918951.5
13682  2021 APR 03 00:42:54    2/0670682399.64690  2021 APR 03 02:31:04    20.85    10.71     7.20   -32.76      182.36   241939716.0
13683  2021 APR 03 04:19:21    2/0670695386.62295  2021 APR 03 06:07:30   328.17    10.73   314.23   -32.60      182.41   241960457.3
13684  2021 APR 03 07:55:46    2/0670708371.52002  2021 APR 03 09:43:54   275.50    10.76   261.33   -32.51      181.60   241981170.0
13685  2021 APR 03 11:32:09    2/0670721355.16647  2021 APR 03 13:20:19   222.84    10.79   208.41   -32.30      182.48   242001855.2
13686  2021 APR 03 15:08:36    2/0670734341.62814  2021 APR 03 16:56:45   170.16    10.81   155.46   -32.14      182.36   242022520.2
13687  2021 APR 03 18:45:01    2/0670747326.48971  2021 APR 03 20:33:09   117.49    10.84   102.53   -31.99      181.40   242043156.9
13688  2021 APR 03 22:21:24    2/0670760309.65251  2021 APR 04 00:09:34    64.83    10.87    49.63   -31.85      181.78   242063765.7
13689  2021 APR 04 01:57:50    2/0670773295.33701  2021 APR 04 03:45:59    12.16    10.89   356.70   -31.67      182.53   242084352.8
13690  2021 APR 04 05:34:16    2/0670786281.51660  2021 APR 04 07:22:24   319.48    10.92   303.74   -31.52      182.37   242104915.6
13691  2021 APR 04 09:10:40    2/0670799265.23209  2021 APR 04 10:58:48   266.82    10.95   250.85   -31.41      181.78   242125448.7
13692  2021 APR 04 12:47:04    2/0670812249.24052  2021 APR 04 14:35:13   214.15    10.97   197.92   -31.20      182.67   242145957.0
13693  2021 APR 04 16:23:30    2/0670825235.39643  2021 APR 04 18:11:38   161.47    11.00   144.98   -31.04      182.30   242166443.4
13694  2021 APR 04 19:59:54    2/0670838219.27288  2021 APR 04 21:48:02   108.81    11.03    92.06   -30.89      181.45   242186900.4
13695  2021 APR 04 23:36:18    2/0670851203.15205  2021 APR 05 01:24:27    56.14    11.05    39.16   -30.75      182.10   242207331.9
13696  2021 APR 05 03:12:43    2/0670864188.62448  2021 APR 05 05:00:53     3.47    11.08   346.22   -30.57      182.75   242227740.8
13697  2021 APR 05 06:49:09    2/0670877174.45531  2021 APR 05 08:37:17   310.80    11.11   293.27   -30.43      182.44   242248124.2
13698  2021 APR 05 10:25:32    2/0670890157.27647  2021 APR 05 12:13:41   258.14    11.13   240.39   -30.30      182.09   242268477.2
13699  2021 APR 05 14:01:57    2/0670903142.53772  2021 APR 05 15:50:07   205.47    11.16   187.45   -30.10      182.85   242288808.7
